Row #,Year,Proj. Type,Organization Name,HMIS Org ID,Project Name,HMIS Proj ID,Geo Code,HMIS-Participating,Inventory Type,Target Pop.,Target Pop. A,Target Pop. B,Beds HH w/o Children,Beds HH w/ only Children,Veteran Beds,Veteran Beds HH w/ Children,Veteran Beds HH w/o Children,Youth Beds HH w/o Children,Victim Service Provider,Additional Federal Funding?,Additional Federal Funding: HUD-VASH,Additional Federal Funding: SSVF,Additional Federal Funding: GPD,Additional Federal Funding: GPD-BH,Additional Federal Funding: GPD-LD,Additional Federal Funding: GPD-HH,Additional Federal Funding: GPD-CT,Additional Federal Funding: GPD-SITH,Additional Federal Funding: GPD-TP,Additional Federal Funding: HCHV,Additional Federal Funding: HCHV-CRS,Additional Federal Funding: HCHV-SH,Additional Federal Funding: CWT/TR,Additional Federal Funding: BCP,Additional Federal Funding: TLP,Additional Federal Funding: MGH,Additional Federal Funding: HOPWA,Additional Federal Funding: HOPWA-HMV,Additional Federal Funding: HOPWA-PH,Additional Federal Funding: HOPWA-STSF,Additional Federal Funding: HOPWA-TH,Additional Federal Funding: HOPWA-CV,Additional Federal Funding: PIH,Additional Federal Funding: HOME,Additional Federal Funding: HOME ARP,Additional Federal Funding: PIH-EHV,Additional Federal Funding: Other,Housing Type,McKinney- Vento,McKinney- Vento: Esg,McKinney- Vento: EsgEs,McKinney- Vento: EsgRrh,McKinney- Vento: Esg-CV,McKinney- Vento: Coc,McKinney- Vento: CocSh,McKinney- Vento: CocTh,McKinney- Vento: CocPsh,McKinney- Vento: CocRrh,McKinney- Vento: CocSro,McKinney- Vento: CocThRrh,McKinney- Vento: SpC,McKinney- Vento: S8,McKinney- Vento: SHP,McKinney- Vento: YHDP,McKinney- Vento: YHDP Renewals,Year-Round Beds,PIT Count,Total Beds,Utilization Rate,Last Update On
157350,2013,TH,Catholic Charities,,HR Independent Living (6086),,,,N,,SF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,1,1,1,1,
151303,2013,ES,Catholic Charities,,La Posada de Guadalupe (5586),,,,C,,SM,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,50,32,50,0.64,
151469,2013,TH,Catholic Charities,,Leah's II,,,,C,,SFHC,DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,4,4,4,1,
151406,2013,PSH,Catholic Charities,,Ninth and F Street Apartments (5993),,,,C,,SFHC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,29,29,29,1,
151370,2013,ES,Catholic Charities,,Rachel's Night Shelter (5627),,,,C,,SF,DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,12,12,12,1,
151437,2013,TH,Catholic Charities,,Rachel's Night Shelter WCP (6057),,,,C,,SF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,13,13,13,1,
151438,2013,TH,Catholic Charities,,Rachel's Night Shelter- Solutions (6058),,,,C,,SF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,10,9,10,0.9,
151306,2013,ES,Center for Community Solutions,,HVH Shelter Beds,,,,C,,SMF+HC,DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,35,11,35,0.31,
151318,2013,TH,Center for Community Solutions,,Next Step-East,,,,C,,HC,DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,8,1,8,0.12,
151319,2013,TH,Center for Community Solutions,,Next Step-North,,,,C,,HC,DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,35,12,35,0.34,
151305,2013,ES,Center for Community Solutions,,Project Safehouse,,,,C,,SFHC,DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,24,4,24,0.17,
151407,2013,PSH,Community Housing Works,,Alabama Manor (6070),,,,C,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,23,27,23,1.17,
151320,2013,TH,Community Housing Works,,Centro Transitional (5465),,,,C,,HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,84,66,84,0.79,
151345,2013,PSH,Community Housing Works,,Las Casitas (5949),,,,C,,HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,42,33,42,0.79,
151346,2013,PSH,Community Housing Works,,Marisol Apts (1149),,,,C,,SMF,HIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,21,21,21,1,
151347,2013,PSH,Community Housing Works,,Old Grove (6060),,,,C,,SMF,HIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,4,3,4,0.75,
151348,2013,PSH,Community Housing Works,,Pine View Veteran (5867),,,,C,,SMF,VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,10,9,10,0.9,
151307,2013,ES,Community Resource Center,,Carol's House (5467),,,,C,,HC,DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,24,21,24,0.88,
156662,2013,ES,Community Resource Center,,FESG Hotel/Motel Voucher Program,,,,C,,SMF+HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,20,9,9,1,
151321,2013,TH,Community Resource Center,,Libre DV Transitional (5992),,,,C,,HC,DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,15,15,15,1,
151350,2013,PSH,County of San Diego,,Interfaith S+C Sponsor Based Housing (5860),,,,C,,SMF+HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,46,50,46,1.09,
151353,2013,PSH,County of San Diego,,KHRW Refuge Housing Shelter Plus Care (5985),,,,C,,HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,34,38,34,1.12,
151363,2013,PSH,County of San Diego,,MHS Housing Plus I (6205),,,,C,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,9,14,9,1.56,
151364,2013,PSH,County of San Diego,,MHS Housing Plus II (6206),,,,C,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,9,11,9,1.22,
151445,2013,PSH,County of San Diego,,MHS Housing Plus III,,,,N,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,9,8,9,0.89,
151488,2013,PSH,County of San Diego,,MHS Housing Plus IIIa,,,,C,,SFHC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,11,14,11,1.27,
157451,2013,PSH,County of San Diego,,North County Solutions for Change New Solutions 2 Expansion,,,,N,,HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,12,14,12,1.17,
151355,2013,PSH,County of San Diego,,North County Solutions of Change New Solutions 2 SPC (5822),,,,C,,HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,56,56,56,1,
151486,2013,PSH,County of San Diego,,North County Solutions of Change New Solutions 2 SPC (5822),,,,N,,HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,4,2,4,0.5,
151362,2013,PSH,County of San Diego,,S+C Tenant Based TBRA(5967),,,,C,,SMF+HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,74,73,74,0.99,
151356,2013,PSH,County of San Diego,,Volunteers of America S+C CGLC (6164),,,,C,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,11,11,11,1,
157446,2013,PSH,County of San Diego,,Volunteers of America S+C CGLC (6164),,,,N,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,2,1,2,0.5,
151365,2013,PSH,County of San Diego,,Volunteers of America Young Adult S+C (6288),,,,C,,SMF+HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,10,10,10,1,
151323,2013,TH,Crisis House,,Domestic Violence Program (5382),,,,C,,HC,DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,39,32,39,0.82,
151324,2013,TH,Crisis House,,Transitional Families w/Kids FOCUS (5387),,,,C,,HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,15,9,15,0.6,
151322,2013,TH,Crisis House,,Transitional Housing People w/Disabilities (5386),,,,C,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,12,10,12,0.83,
151483,2013,ES,East County Transitional Living Center,,CDBG (6275),,,,C,,SMF+HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0,23,23,1,
151473,2013,TH,East County Transitional Living Center,,Discipleship Program (Phase 2) (6269),,,,C,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,28,16,28,0.57,
151474,2013,TH,East County Transitional Living Center,,Discipleship Program (Phase 3) (6270),,,,C,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,22,16,22,0.73,
151475,2013,TH,East County Transitional Living Center,,Discipleship Program (Phase 4) (6271),,,,C,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,60,47,60,0.78,
151472,2013,ES,East County Transitional Living Center,,Discipleship Program (Phase I) (6268),,,,C,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,62,45,62,0.73,
151477,2013,TH,East County Transitional Living Center,,Family Restoration (6272),,,,C,,HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,68,35,68,0.51,
151479,2013,TH,East County Transitional Living Center,,Transitional Program (6273),,,,C,,HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,45,54,45,1.2,
162331,2013,TH,Eleanors Place for Women,,Eleanors Place for Women,,,,C,,SF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,3,3,3,1,
151405,2013,SH,Episcopal Community Services,,Downtown Safe Haven (1146),,,,C,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,26,23,26,0.88,
151452,2013,SH,Episcopal Community Services,,Downtown Safe Haven - Vet (1146),,,,C,,SMF,VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,2,2,2,1,
151431,2013,SH,Episcopal Community Services,,Uptown Safe Haven (5429),,,,C,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,19,14,19,0.74,
151447,2013,PSH,Father Joe's Villages,,15 and Commercial,,,,N,,SMF+HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,25,24,25,0.96,
151409,2013,PSH,Father Joe's Villages,,Boulevard Apts,,,,C,,HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,15,14,15,0.93,
162333,2013,TH,Generate Hope,,Generate Hope,,,,N,,SF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,6,5,6,0.83,
151371,2013,ES,Home Start Inc,,Hotel/Motel Voucher Central (6072),,,,C,,SMF+HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0,3,3,1,
156707,2013,ES,Home Start Inc,,Hotel/Motel Voucher Program East,,,,C,,SMF+HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,20,18,18,1,
157459,2013,PSH,Home Start Inc,,Maternity Shelter First Five,,,,U,,SFHC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,12,16.5,12,0.93,
157458,2013,PSH,Home Start Inc,,Maternity Shelter FYSB,,,,N,,SFHC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,7,2,7,0.29,
151450,2013,PSH,Home Start Inc,,Maternity Shelter Program,,,,N,,SFHC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,34,32,34,0.94,
151349,2013,PSH,Housing Authority for the County of San Diego,,HOPWA Tenant Based (5877),,,,C,,SMF+HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,116,116,116,1,
151454,2013,PSH,Housing Authority for the County of San Diego,,HUD VASH-SD HUD VASH-County (6324),,,,C,,SMF+HC,VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,312,219,312,0.7,
151462,2013,PSH,Housing Authority for the County of San Diego,,HUD VASH-SD HUD VASH-County (6324),,,,N,,SMF+HC,VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,101,75,101,0.74,
151329,2013,TH,Interfaith Community Services,,CASA Transitional (5929),,,,C,,HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,28,27,28,0.96,
151311,2013,TH,Interfaith Community Services,,Corinne's Cottage (5097),,,,C,,SF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,6,6,6,1,
156667,2013,ES,Interfaith Community Services,,Escondido Emgency Shelter,,,,C,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,20,39,0,0.93,
151325,2013,TH,Interfaith Community Services,,Genesis I (1086),,,,C,,HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,60,38,60,0.63,
151326,2013,TH,Interfaith Community Services,,Genesis II (1105),,,,C,,HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,32,19,32,0.59,
151448,2013,TH,Interfaith Community Services,,Men's Shelter,,,,C,,SM,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,6,5,6,0.83,
156663,2013,ES,Interfaith Community Services,,Mom Hotel/Motel Voucher Program,,,,C,,SFHC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,20,11,11,1,
151352,2013,PSH,Interfaith Community Services,,Raymond's Refuge II (6160),,,,C,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,16,15,16,0.94,
151328,2013,TH,Interfaith Community Services,,Spruce Street (1082),,,,C,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,34,32,34,0.94,
151310,2013,TH,Interfaith Community Services,,Tikkun (6028),,,,C,,SF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,6,6,6,1,
151330,2013,TH,Interfaith Community Services,,Veteran's Housing Escondido 360 (6161),,,,C,,SM,VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,28,27,28,0.96,
151327,2013,TH,Interfaith Community Services,,Vets Merle's Place 364 (6159),,,,C,,SM,VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,44,44,44,1,
151331,2013,TH,Interfaith Community Services,,Vets Transitional Oceanside 363 (6162),,,,C,,SMF,VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,72,69,72,0.96,
151426,2013,TH,Interfaith Shelter Network of San Diego,,El Nido Transitional Living Program (TLC) (5341),,,,C,,HC,DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,45,33,45,0.73,
151425,2013,ES,Interfaith Shelter Network of San Diego,,ISN Clairemont/Kearny Mesa (6223),,,,C,,SMF+HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0,13,1,13,
151367,2013,ES,Interfaith Shelter Network of San Diego,,ISN East County (5942),,,,C,,SMF+HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0,6,0,0.93,
151368,2013,ES,Interfaith Shelter Network of San Diego,,ISN East County (6165),,,,C,,SMF+HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0,5,0,0.93,
151366,2013,ES,Interfaith Shelter Network of San Diego,,ISN NC Coastal (1928),,,,C,,SMF+HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0,12,0,0.93,
151369,2013,ES,Interfaith Shelter Network of San Diego,,ISN NC Inland (5941),,,,C,,SMF+HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0,9,0,0.93,
151433,2013,ES,Interfaith Shelter Network of San Diego,,ISN SD Beaches (5938),,,,C,,SMF+HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0,12,0,0.93,
151434,2013,ES,Interfaith Shelter Network of San Diego,,ISN SD Inland (5936),,,,C,,SMF+HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0,6,0,0.93,
151359,2013,ES,Interfaith Shelter Network of San Diego,,ISN South Bay (6228),,,,C,,SMF+HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0,12,0,0.93,
162433,2013,TH,Maloney Wilding Foundation,,Transitional Housing Plus,,,,C,,SMF+HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,14,14,14,1,
151491,2013,TH,McAlister Institute for Treatment,,Sober Living Program (5851),,,,C,,SM,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,6,6,6,1,
151332,2013,TH,Mental Health System,,Family Recovery Program (5806),,,,C,,SFHC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,90,73,90,0.81,
151333,2013,TH,Mental Health System,,Next Step (5807),,,,C,,HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,16,16,16,1,
151361,2013,SH,Mental Health System,,North County Safe Haven(5872),,,,C,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,12,8,12,0.67,
151312,2013,ES,North County Lifeline,,Hotel/Motel Voucher Program (5953),,,,C,,SMF+HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0,4,4,1,
151334,2013,TH,North County Serenity House,,Serenity Village (6170),,,,C,,SFHC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,12,25,12,2.08,
151335,2013,TH,North County Solutions for Change,,Family Center (5449),,,,C,,HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,100,82,100,0.82,
151336,2013,TH,North County Solutions for Change,,IAC Intake & Access Center (1151),,,,C,,HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,40,40,40,1,
151354,2013,PSH,North County Solutions for Change,,New Solutions (5896),,,,C,,HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,20,10,20,0.5,
151313,2013,ES,Operation Hope,,Alliance NC Winter Shelter (6107),,,,C,,SFHC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0,15,0,0.93,
162707,2013,TH,PATH San Diego at Connections Housing,,Interim Housing,,,,U,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,134,16.5,134,0.93,
162710,2013,TH,PATH San Diego at Connections Housing,,PATHcares Special Needs Units (SRO),,,,U,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,16,16.5,16,0.93,
162708,2013,PSH,PATH San Diego at Connections Housing,,PATHways PSH Program,,,,U,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,73,16.5,73,0.93,
151404,2013,TH,Salvation Army,,CARS (5926),,,,C,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,4,4,4,1,
